"","x","y","area","peri","land_perc"
"177",1535000,6984039,13267.5685714286,474.834857142858,NA
"178",1625000,6984039,13267.5685714286,474.834857142858,NA
"179",1715000,6984039,13267.5685714286,474.834857142858,0.00923442218093899
"180",1805000,6984039,13267.5685714286,474.834857142858,0.436074664868263
"181",-2155000,6836621.57142857,13267.5685714287,474.834857142858,NA
"182",-2065000,6836621.57142857,13267.5685714286,474.834857142858,NA
"183",-1975000,6836621.57142857,13267.5685714287,474.834857142858,NA
"184",-1885000,6836621.57142857,13267.5685714286,474.834857142858,NA
"185",-1795000,6836621.57142857,13267.5685714286,474.834857142858,NA
"186",-1705000,6836621.57142857,13267.5685714286,474.834857142858,NA
"187",-1615000,6836621.57142857,13267.5685714286,474.834857142858,NA
"188",-1525000,6836621.57142857,13267.5685714286,474.834857142858,NA
"189",-1435000,6836621.57142857,13267.5685714286,474.834857142858,NA
"190",-1345000,6836621.57142857,13267.5685714286,474.834857142858,NA
"191",-1255000,6836621.57142857,13267.5685714286,474.834857142858,NA
"192",-1165000,6836621.57142857,13267.5685714286,474.834857142858,NA
"193",-1075000,6836621.57142857,13267.5685714286,474.834857142858,NA
"194",-985000,6836621.57142857,13267.5685714286,474.834857142858,NA
"195",-895000,6836621.57142857,13267.5685714286,474.834857142858,NA
"196",-805000,6836621.57142857,13267.5685714286,474.834857142858,NA
"197",-715000,6836621.57142857,13267.5685714286,474.834857142858,NA
"198",-625000,6836621.57142857,13267.5685714286,474.834857142858,NA
"199",-535000,6836621.57142857,13267.5685714286,474.834857142858,NA
"200",-445000,6836621.57142857,13267.5685714286,474.834857142858,NA
"201",-355000,6836621.57142857,13267.5685714286,474.834857142858,NA
"202",-265000,6836621.57142857,13267.5685714286,474.834857142858,NA
"203",-175000,6836621.57142857,13267.5685714286,474.834857142858,NA
"204",-85000,6836621.57142857,13267.5685714286,474.834857142858,NA
"205",5000,6836621.57142857,13267.5685714286,474.834857142858,NA
"206",95000,6836621.57142857,13267.5685714286,474.834857142858,NA
