"","x","y","land_perc","temp","phyto","velo"
"150",-895000,6984039,NA,8.12822087604743,1.84777970746341,0.0566934115532282
"151",-805000,6984039,NA,8.52187305447716,1.82873951539395,0.0287686376832238
"152",-715000,6984039,NA,8.84100694835,1.8136445912336,0.0328540969647562
"153",-625000,6984039,NA,9.11240923404385,1.80676924657119,0.0254602681148294
"154",-535000,6984039,NA,9.38035109591018,1.79418585755756,0.0487480947746059
"155",-445000,6984039,NA,9.65908056694789,1.80518867692061,0.0354157186121183
"156",-355000,6984039,NA,10.0140015616017,1.80064950287776,0.0507173403594844
"157",-265000,6984039,NA,10.4103746180503,1.76018971311864,0.0835698724879781
"158",-175000,6984039,NA,10.7354801425168,1.73730755070912,0.0869846377181378
"159",-85000,6984039,NA,10.8829686429823,1.76346970115678,0.0565088512367422
"160",5000,6984039,NA,11.1206739714947,1.71886726262124,0.0870561947795823
"161",95000,6984039,NA,11.1618259260587,1.73161765209386,0.0401914993115447
"162",185000,6984039,NA,11.1603583990965,1.7654317046134,0.0414569563342658
"163",275000,6984039,NA,11.1287297112445,1.84955106789185,0.0492302718273264
"164",365000,6984039,NA,11.0393090182863,2.11218066306877,0.0296254472030597
"165",455000,6984039,NA,11.5148845504998,1.94893656030221,0.0611009552337425
"166",545000,6984039,NA,11.657714276938,1.89408333752405,0.0469395042972176
"167",635000,6984039,NA,11.613991483871,2.19924406040701,0.0676532251162302
"168",725000,6984039,0.0435401072135132,11.0582719735163,2.7664909997899,0.0547980407048105
"169",815000,6984039,0.259718792378872,10.6513307949447,2.75825682949642,0.0609695852322074
"170",905000,6984039,0.928540048096189,10.3185158486375,3.09058375664927,0.0125990256962377
"171",995000,6984039,0.957377226589985,9.84375829947353,5.94688908208803,0.0178990133312335
"172",1085000,6984039,0.198791154831773,9.95677509449548,3.63960993721133,0.0290561342944577
"173",1175000,6984039,NA,10.4267815226942,2.26164392826907,0.0317389654812627
"174",1265000,6984039,NA,10.7016366221268,1.91610002465186,0.0326535186764528
