"","x","y","land_perc","temp","phyto","velo","diversity","active","upper","lower","right","left","upper_left","upper_right","lower_left","lower_right"
"147",-1165000,6984039,0,280.151001231345,1.61264050166691,2.43853372125831,0.24,1,1,1,1,1,1,1,1,1
"148",-1075000,6984039,0,280.515570106561,1.64083114811283,2.7711977756576,0.3,1,1,1,1,1,1,1,1,1
"149",-985000,6984039,0,280.89544448451,1.65093631183077,4.14841246227245,0.3,1,1,1,1,1,1,1,1,1
"150",-895000,6984039,0,281.278220876047,1.65552366038479,5.10998498370614,0.22,1,1,1,1,1,1,1,1,1
"151",-805000,6984039,0,281.671873054477,1.63846454433219,2.59302276111809,0.14,1,1,1,1,1,1,1,1,1
"152",-715000,6984039,0,281.99100694835,1.62494020265973,2.96126018074441,0.14,1,1,1,1,1,1,1,1,1
"153",-625000,6984039,0,282.262409234044,1.61878021739961,2.29482728563196,0.16,1,1,1,1,1,1,1,1,1
"154",-535000,6984039,0,282.53035109591,1.60750609302442,4.3938444601917,0.2,1,1,1,1,1,1,1,1,1
"155",-445000,6984039,0,282.809080566948,1.61736410137515,3.19214852902571,0.18,1,1,1,1,1,1,1,1,1
"156",-355000,6984039,0,283.164001561602,1.61329721504871,4.57133978270392,0.16,1,1,1,1,1,1,1,1,1
"157",-265000,6984039,0,283.56037461805,1.57704714748391,7.53245891902034,0.28,1,1,1,1,1,1,1,1,1
"158",-175000,6984039,0,283.885480142517,1.5565458068118,7.84024422547725,0.22,1,1,1,1,1,1,1,1,1
"159",-85000,6984039,0,284.032968642982,1.57998586240809,5.09334988590564,0.24,1,1,1,1,1,1,1,1,1
"160",5000,6984039,0,284.270673971495,1.54002417649489,7.84669392570593,0.3,1,1,1,1,1,1,1,1,1
"161",95000,6984039,0,284.311825926059,1.5514479254222,3.62260714830689,0.2,1,1,1,1,1,1,1,1,1
"162",185000,6984039,0,284.310358399096,1.58174372517229,3.73666742809018,0.32,1,1,1,1,1,1,1,1,1
"163",275000,6984039,0,284.278729711244,1.6571107159675,4.4373048452944,0.42,1,1,1,1,1,1,1,1,1
"164",365000,6984039,0,284.189309018286,1.89241447375665,2.67025014363585,0.42,1,1,1,1,1,1,1,1,1
"165",455000,6984039,0,284.6648845505,1.7461554400327,5.5072530507603,0.56,1,1,1,1,1,1,1,1,1
"166",545000,6984039,0,284.807714276938,1.6970095338455,4.23082957137254,0.52,1,1,1,1,1,1,1,1,1
"167",635000,6984039,0,284.763991483871,1.97041918052162,6.0978331515409,0.38,1,1,1,1,1,1,1,1,1
"168",725000,6984039,0.0435401072135132,284.208271973516,2.47864574326399,4.93914826196686,0.24,1,1,1,1,1,1,1,1,1
"169",815000,6984039,0.259718792378872,283.801330794945,2.47126831418549,5.49541219100671,0.08,1,1,1,0,1,1,1,1,1
"170",905000,6984039,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"171",995000,6984039,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"172",1085000,6984039,0.198791154831773,283.106775094495,3.26091922174888,2.61893588446034,0.38,1,1,0,1,0,1,1,0,1
"173",1175000,6984039,0,283.576781522694,2.02632652555483,2.86074929280534,0.4,1,1,1,1,1,1,1,0,1
"174",1265000,6984039,0,283.851636622127,1.71673544939493,2.94318132443276,0.34,1,1,1,1,1,1,1,1,1
"175",1355000,6984039,0,283.87864621313,1.63924290153798,3.26340385242959,0.34,1,1,1,1,1,1,1,1,1
"176",1445000,6984039,0,283.871153568374,1.58656543642714,2.94655478894227,0.3,1,1,1,1,1,1,1,1,1
"177",1535000,6984039,0,284.094315520333,1.31013339516394,2.56744998161608,0.32,1,1,1,1,1,1,1,1,1
"178",1625000,6984039,0,284.429355924699,1.67629523712436,3.01668480591759,0.32,1,1,1,1,1,1,1,1,1
"179",1715000,6984039,0.00923442218093899,284.221327551471,2.68398396609095,2.58519418470366,0.22,1,1,1,1,1,1,0,1,0
"180",1805000,6984039,0.436074664868263,284.271520760686,4.86131428959143,1.815465562089,0.12,1,0,0,0,1,1,0,1,0
"181",-2155000,6836621.57142857,0,276.535285110393,2.92168632442827,5.94042659901821,0.22,1,1,1,1,0,0,1,0,1
"182",-2065000,6836621.57142857,0,276.70681311031,3.27271532182403,14.1079115086435,0.22,1,1,1,1,1,1,1,1,1
